Loading data
Number of tasks = 13
Fold 0
Splitting data with seed 0
Class sizes
G1 0: 96.70%, 1: 3.30%
G2 0: 97.37%, 1: 2.63%
G3 0: 96.61%, 1: 3.39%
G4 0: 95.81%, 1: 4.19%
G5 0: 95.92%, 1: 4.08%
G6 0: 96.50%, 1: 3.50%
G7 0: 95.89%, 1: 4.11%
G8 0: 96.01%, 1: 3.99%
G9 0: 96.67%, 1: 3.33%
G10 0: 96.67%, 1: 3.33%
G11 0: 93.72%, 1: 6.28%
G12 0: 96.58%, 1: 3.42%
G13 0: 94.79%, 1: 5.21%
Total size = 37,773 | train size = 37,773 | val size = 4,721 | test size = 4,723
Building model 0
MoleculeModel(
  (sigmoid): Sigmoid()
  (encoder): MPN()
  (ffn): Sequential(
    (0): Dropout(p=0.35000000000000003, inplace=False)
    (1): Linear(in_features=2048, out_features=800, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.35000000000000003, inplace=False)
    (4): Linear(in_features=800, out_features=800, bias=True)
    (5): ReLU()
    (6): Dropout(p=0.35000000000000003, inplace=False)
    (7): Linear(in_features=800, out_features=13, bias=True)
  )
)
Number of parameters = 2,290,413
Moving model to cuda
Epoch 0
Loss = 1.7271e-01, PNorm = 60.3838, GNorm = 0.1612, lr_0 = 9.7813e-04
Loss = 1.4373e-01, PNorm = 60.5647, GNorm = 0.1544, lr_0 = 9.7707e-04
Loss = 1.6659e-01, PNorm = 60.6939, GNorm = 0.1787, lr_0 = 9.7600e-04
Loss = 1.3808e-01, PNorm = 60.8495, GNorm = 0.2286, lr_0 = 9.7494e-04
Loss = 1.5089e-01, PNorm = 61.0205, GNorm = 0.2821, lr_0 = 9.7388e-04
Loss = 1.6467e-01, PNorm = 61.1304, GNorm = 0.1912, lr_0 = 9.7282e-04
Loss = 1.4672e-01, PNorm = 61.2951, GNorm = 0.3418, lr_0 = 9.7176e-04
Loss = 1.2881e-01, PNorm = 61.4233, GNorm = 0.1621, lr_0 = 9.7070e-04
Loss = 1.1935e-01, PNorm = 61.5508, GNorm = 0.1477, lr_0 = 9.6965e-04
Loss = 1.1847e-01, PNorm = 61.6784, GNorm = 0.1695, lr_0 = 9.6859e-04
Loss = 1.0638e-01, PNorm = 61.7761, GNorm = 0.1735, lr_0 = 9.6754e-04
Loss = 1.8273e-01, PNorm = 61.8453, GNorm = 0.2693, lr_0 = 9.6648e-04
Loss = 1.2478e-01, PNorm = 62.0238, GNorm = 0.1358, lr_0 = 9.6543e-04
Loss = 1.2955e-01, PNorm = 62.1873, GNorm = 0.2547, lr_0 = 9.6438e-04
Loss = 1.4694e-01, PNorm = 62.2579, GNorm = 0.1856, lr_0 = 9.6333e-04
Loss = 1.4014e-01, PNorm = 62.3790, GNorm = 0.1930, lr_0 = 9.6228e-04
Loss = 1.5979e-01, PNorm = 62.5285, GNorm = 0.3283, lr_0 = 9.6123e-04
Loss = 1.6322e-01, PNorm = 62.6396, GNorm = 0.1839, lr_0 = 9.6019e-04
Loss = 1.5334e-01, PNorm = 62.7864, GNorm = 0.1866, lr_0 = 9.5914e-04
Loss = 1.6252e-01, PNorm = 62.9404, GNorm = 0.1471, lr_0 = 9.5810e-04
Loss = 1.5999e-01, PNorm = 63.0832, GNorm = 0.2573, lr_0 = 9.5705e-04
Loss = 1.6137e-01, PNorm = 63.2336, GNorm = 0.2033, lr_0 = 9.5601e-04
Loss = 1.7236e-01, PNorm = 63.3846, GNorm = 0.1520, lr_0 = 9.5497e-04
Loss = 1.5051e-01, PNorm = 63.5400, GNorm = 0.1907, lr_0 = 9.5393e-04
Loss = 1.7066e-01, PNorm = 63.6622, GNorm = 0.1741, lr_0 = 9.5289e-04
Loss = 1.4291e-01, PNorm = 63.8071, GNorm = 0.2462, lr_0 = 9.5186e-04
Loss = 1.4860e-01, PNorm = 63.9157, GNorm = 0.1437, lr_0 = 9.5082e-04
Loss = 1.4796e-01, PNorm = 64.0466, GNorm = 0.1460, lr_0 = 9.4979e-04
Loss = 1.5189e-01, PNorm = 64.1740, GNorm = 0.1839, lr_0 = 9.4875e-04
Loss = 1.1402e-01, PNorm = 64.3019, GNorm = 0.2000, lr_0 = 9.4772e-04
Loss = 1.4591e-01, PNorm = 64.3994, GNorm = 0.2528, lr_0 = 9.4669e-04
Loss = 1.7726e-01, PNorm = 64.4972, GNorm = 0.1790, lr_0 = 9.4566e-04
Loss = 1.2374e-01, PNorm = 64.6636, GNorm = 0.2066, lr_0 = 9.4463e-04
Loss = 1.5759e-01, PNorm = 64.7570, GNorm = 0.1392, lr_0 = 9.4360e-04
Loss = 1.9004e-01, PNorm = 64.8588, GNorm = 0.1842, lr_0 = 9.4257e-04
Loss = 1.3668e-01, PNorm = 65.0228, GNorm = 0.1945, lr_0 = 9.4154e-04
Loss = 1.3831e-01, PNorm = 65.1687, GNorm = 0.1668, lr_0 = 9.4052e-04
Loss = 1.4870e-01, PNorm = 65.2868, GNorm = 0.1594, lr_0 = 9.3950e-04
Loss = 1.5720e-01, PNorm = 65.3934, GNorm = 0.1780, lr_0 = 9.3847e-04
Loss = 1.5650e-01, PNorm = 65.5606, GNorm = 0.2963, lr_0 = 9.3745e-04
Loss = 1.6252e-01, PNorm = 65.6923, GNorm = 0.1936, lr_0 = 9.3643e-04
Loss = 1.5559e-01, PNorm = 65.8738, GNorm = 0.3180, lr_0 = 9.3541e-04
Loss = 1.2176e-01, PNorm = 66.0161, GNorm = 0.3485, lr_0 = 9.3439e-04
Loss = 1.5968e-01, PNorm = 66.1175, GNorm = 0.3501, lr_0 = 9.3338e-04
Loss = 1.4316e-01, PNorm = 66.2275, GNorm = 0.1788, lr_0 = 9.3236e-04
Loss = 1.4333e-01, PNorm = 66.3713, GNorm = 0.2729, lr_0 = 9.3135e-04
Loss = 1.3157e-01, PNorm = 66.4667, GNorm = 0.2328, lr_0 = 9.3033e-04
Loss = 1.1450e-01, PNorm = 66.5823, GNorm = 0.1398, lr_0 = 9.2932e-04
Loss = 1.7356e-01, PNorm = 66.6761, GNorm = 0.2178, lr_0 = 9.2831e-04
Loss = 1.1739e-01, PNorm = 66.7919, GNorm = 0.2653, lr_0 = 9.2730e-04
Loss = 1.4683e-01, PNorm = 66.8931, GNorm = 0.2373, lr_0 = 9.2629e-04
Loss = 1.2632e-01, PNorm = 66.9923, GNorm = 0.1278, lr_0 = 9.2528e-04
Loss = 8.9189e-02, PNorm = 67.1109, GNorm = 0.2124, lr_0 = 9.2427e-04
Loss = 1.4174e-01, PNorm = 67.1588, GNorm = 0.1426, lr_0 = 9.2327e-04
Loss = 1.2058e-01, PNorm = 67.2481, GNorm = 0.1489, lr_0 = 9.2226e-04
Loss = 1.3952e-01, PNorm = 67.3626, GNorm = 0.1071, lr_0 = 9.2126e-04
Validation auc = 0.721160
Epoch 3
Loss = 1.5311e-01, PNorm = 67.4597, GNorm = 0.2270, lr_0 = 9.2025e-04
Loss = 1.3065e-01, PNorm = 67.5804, GNorm = 0.1561, lr_0 = 9.1925e-04
Loss = 1.3099e-01, PNorm = 67.7319, GNorm = 0.2492, lr_0 = 9.1825e-04
