Loading data
Number of tasks = 13
Fold 0
Splitting data with seed 0
Class sizes
G1 0: 96.70%, 1: 3.30%
G2 0: 97.37%, 1: 2.63%
G3 0: 96.61%, 1: 3.39%
G4 0: 95.81%, 1: 4.19%
G5 0: 95.92%, 1: 4.08%
G6 0: 96.50%, 1: 3.50%
G7 0: 95.89%, 1: 4.11%
G8 0: 96.01%, 1: 3.99%
G9 0: 96.67%, 1: 3.33%
G10 0: 96.67%, 1: 3.33%
G11 0: 93.72%, 1: 6.28%
G12 0: 96.58%, 1: 3.42%
G13 0: 94.79%, 1: 5.21%
Total size = 37,773 | train size = 37,773 | val size = 4,721 | test size = 4,723
Building model 0
MoleculeModel(
  (sigmoid): Sigmoid()
  (encoder): MPN()
  (ffn): Sequential(
    (0): Dropout(p=0.25, inplace=False)
    (1): Linear(in_features=200, out_features=1400, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.25, inplace=False)
    (4): Linear(in_features=1400, out_features=13, bias=True)
  )
)
Number of parameters = 299,613
Moving model to cuda
Epoch 0
Loss = 1.2782e-01, PNorm = 20.0652, GNorm = 0.1276, lr_0 = 6.0781e-04
Loss = 1.2601e-01, PNorm = 20.0811, GNorm = 0.0866, lr_0 = 6.1377e-04
Loss = 2.0646e-01, PNorm = 20.0585, GNorm = 0.1669, lr_0 = 6.1974e-04
Loss = 1.2560e-01, PNorm = 20.1107, GNorm = 0.1461, lr_0 = 6.2570e-04
Loss = 1.6344e-01, PNorm = 20.1111, GNorm = 0.0897, lr_0 = 6.3166e-04
Loss = 1.8919e-01, PNorm = 20.1005, GNorm = 0.1139, lr_0 = 6.3762e-04
Loss = 1.7245e-01, PNorm = 20.1409, GNorm = 0.1054, lr_0 = 6.4358e-04
Loss = 1.6044e-01, PNorm = 20.1421, GNorm = 0.0970, lr_0 = 6.4954e-04
Loss = 1.5588e-01, PNorm = 20.1559, GNorm = 0.1128, lr_0 = 6.5550e-04
Loss = 1.5332e-01, PNorm = 20.1729, GNorm = 0.0848, lr_0 = 6.6146e-04
Loss = 2.1006e-01, PNorm = 20.1653, GNorm = 0.1297, lr_0 = 6.6742e-04
Loss = 1.1713e-01, PNorm = 20.2435, GNorm = 0.2247, lr_0 = 6.7338e-04
Loss = 1.3855e-01, PNorm = 20.2452, GNorm = 0.0689, lr_0 = 6.7934e-04
Loss = 1.8120e-01, PNorm = 20.2218, GNorm = 0.1361, lr_0 = 6.8530e-04
Loss = 1.5052e-01, PNorm = 20.2716, GNorm = 0.1025, lr_0 = 6.9126e-04
Loss = 1.9355e-01, PNorm = 20.2887, GNorm = 0.0805, lr_0 = 6.9722e-04
Loss = 1.7591e-01, PNorm = 20.2785, GNorm = 0.1390, lr_0 = 7.0318e-04
Loss = 1.4588e-01, PNorm = 20.3225, GNorm = 0.1071, lr_0 = 7.0914e-04
Loss = 1.3825e-01, PNorm = 20.3396, GNorm = 0.1006, lr_0 = 7.1510e-04
Loss = 1.4578e-01, PNorm = 20.3585, GNorm = 0.0990, lr_0 = 7.2106e-04
Loss = 1.4725e-01, PNorm = 20.3711, GNorm = 0.2161, lr_0 = 7.2702e-04
Loss = 1.3646e-01, PNorm = 20.3827, GNorm = 0.1017, lr_0 = 7.3298e-04
Loss = 1.8647e-01, PNorm = 20.3926, GNorm = 0.4285, lr_0 = 7.3894e-04
Loss = 1.3906e-01, PNorm = 20.3882, GNorm = 0.1027, lr_0 = 7.4490e-04
Loss = 1.3309e-01, PNorm = 20.4468, GNorm = 0.1424, lr_0 = 7.5086e-04
Loss = 1.8682e-01, PNorm = 20.4366, GNorm = 0.1342, lr_0 = 7.5682e-04
Loss = 1.7679e-01, PNorm = 20.4672, GNorm = 0.1036, lr_0 = 7.6278e-04
Loss = 1.9890e-01, PNorm = 20.4933, GNorm = 0.1730, lr_0 = 7.6874e-04
Loss = 1.7383e-01, PNorm = 20.5064, GNorm = 0.1337, lr_0 = 7.7470e-04
Loss = 1.9350e-01, PNorm = 20.5239, GNorm = 0.1034, lr_0 = 7.8066e-04
Loss = 1.4173e-01, PNorm = 20.5671, GNorm = 0.1108, lr_0 = 7.8662e-04
Loss = 1.5746e-01, PNorm = 20.6069, GNorm = 0.1414, lr_0 = 7.9258e-04
Loss = 1.2586e-01, PNorm = 20.6401, GNorm = 0.1092, lr_0 = 7.9854e-04
Loss = 2.1206e-01, PNorm = 20.6200, GNorm = 0.1279, lr_0 = 8.0450e-04
Loss = 1.6820e-01, PNorm = 20.6707, GNorm = 0.2370, lr_0 = 8.1046e-04
Loss = 1.7571e-01, PNorm = 20.6743, GNorm = 0.1126, lr_0 = 8.1642e-04
Loss = 1.5338e-01, PNorm = 20.6897, GNorm = 0.1484, lr_0 = 8.2238e-04
Loss = 1.7953e-01, PNorm = 20.6748, GNorm = 0.1003, lr_0 = 8.2834e-04
Loss = 1.4845e-01, PNorm = 20.7150, GNorm = 0.0935, lr_0 = 8.3430e-04
Loss = 1.7211e-01, PNorm = 20.7250, GNorm = 0.0959, lr_0 = 8.4026e-04
Loss = 1.2908e-01, PNorm = 20.7693, GNorm = 0.0931, lr_0 = 8.4623e-04
Loss = 1.6749e-01, PNorm = 20.7699, GNorm = 0.1098, lr_0 = 8.5219e-04
Loss = 1.9669e-01, PNorm = 20.7648, GNorm = 0.1170, lr_0 = 8.5815e-04
Loss = 1.7139e-01, PNorm = 20.7987, GNorm = 0.1032, lr_0 = 8.6411e-04
Loss = 2.0433e-01, PNorm = 20.8073, GNorm = 0.1136, lr_0 = 8.7007e-04
Loss = 1.8165e-01, PNorm = 20.8323, GNorm = 0.1104, lr_0 = 8.7603e-04
Loss = 1.6953e-01, PNorm = 20.8464, GNorm = 0.1027, lr_0 = 8.8199e-04
Loss = 1.3236e-01, PNorm = 20.8909, GNorm = 0.1017, lr_0 = 8.8795e-04
Loss = 1.6657e-01, PNorm = 20.8981, GNorm = 0.1087, lr_0 = 8.9391e-04
Loss = 1.2743e-01, PNorm = 20.9416, GNorm = 0.0933, lr_0 = 8.9987e-04
Loss = 1.9493e-01, PNorm = 20.9383, GNorm = 0.1046, lr_0 = 9.0583e-04
Loss = 1.2033e-01, PNorm = 20.9823, GNorm = 0.0766, lr_0 = 9.1179e-04
Loss = 1.3639e-01, PNorm = 20.9981, GNorm = 0.1042, lr_0 = 9.1775e-04
Loss = 1.7234e-01, PNorm = 20.9803, GNorm = 0.1497, lr_0 = 9.2371e-04
Loss = 1.2224e-01, PNorm = 21.0331, GNorm = 0.0909, lr_0 = 9.2967e-04
Loss = 1.3517e-01, PNorm = 21.0544, GNorm = 0.0749, lr_0 = 9.3563e-04
